sr_no,disco,feeder_name,grid_station,schedule_type,slot_start,slot_end,duration_hours,raw_slot,source_file,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,shortwave_radiation,is_day
1,F-6,ABDUL RAHEEM (F-7/2),86403,12HR,12:00,13:00,1.0,12--13,islamabad.xlsx,33.4,19.9,33.0,0.1,8.0,791.5,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,12HR,14:00,15:00,1.0,14--15,islamabad.xlsx,33.5,20.6,32.4,0.2,9.1,696.9,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,12HR,16:00,17:00,1.0,16--17,islamabad.xlsx,33.3,19.1,30.9,0.0,8.9,470.6,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,12HR,18:00,19:00,1.0,18--19,islamabad.xlsx,30.8,24.5,29.0,0.0,7.6,129.6,1.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,12HR,20:00,21:00,1.0,20--21,islamabad.xlsx,25.5,34.3,24.2,0.0,6.0,0.0,0.0
1,F-6,ABDUL RAHEEM (F-7/2),86403,12HR,22:00,23:00,1.0,22--23,islamabad.xlsx,22.1,46.5,21.2,0.0,5.6,0.0,0.0
2,F-6,PARBAT ROAD,86404,2HR,01:00,02:00,1.0,01--02,islamabad.xlsx,19.0,54.7,18.1,0.1,5.4,0.0,0.0
2,F-6,PARBAT ROAD,86404,2HR,13:00,14:00,1.0,13--14,islamabad.xlsx,33.8,19.8,33.2,0.1,8.0,783.0,1.0
2,F-6,PARBAT ROAD,86404,4HR,01:00,02:00,1.0,01--02,islamabad.xlsx,19.0,54.7,18.1,0.1,5.4,0.0,0.0
2,F-6,PARBAT ROAD,86404,4HR,07:00,08:00,1.0,07--08,islamabad.xlsx,21.4,49.4,20.7,0.0,5.1,92.4,1.0
2,F-6,PARBAT ROAD,86404,4HR,13:00,14:00,1.0,13--14,islamabad.xlsx,33.8,19.8,33.2,0.1,8.0,783.0,1.0
2,F-6,PARBAT ROAD,86404,4HR,19:00,20:00,1.0,19--20,islamabad.xlsx,28.0,28.0,26.3,0.0,6.9,15.3,0.0
2,F-6,PARBAT ROAD,86404,6HR,01:00,02:00,1.0,01--02,islamabad.xlsx,19.0,54.7,18.1,0.1,5.4,0.0,0.0
2,F-6,PARBAT ROAD,86404,6HR,05:00,06:00,1.0,05--06,islamabad.xlsx,17.4,57.3,16.6,0.0,3.4,0.0,0.0
2,F-6,PARBAT ROAD,86404,6HR,09:00,10:00,1.0,09--10,islamabad.xlsx,28.8,29.7,27.7,0.0,5.8,468.7,1.0
2,F-6,PARBAT ROAD,86404,6HR,13:00,14:00,1.0,13--14,islamabad.xlsx,33.8,19.8,33.2,0.1,8.0,783.0,1.0
2,F-6,PARBAT ROAD,86404,6HR,17:00,18:00,1.0,17--18,islamabad.xlsx,32.4,21.0,30.1,0.0,9.2,301.2,1.0
